requirementId,requirement,implementationFiles,positiveTests,negativeTests,gate,status,evidence
G2-006,C++ and Python parse the same noise shard header bytes,"noise_pool.hpp;validate_common04_noise_pool.py;inspect_common04_noise_pool.py","test_common04_gaussian_noise.cpp;validate_common04_noise_pool.py","header parse mismatch",PASS_COMMON_GAUSSIAN_NOISE,PASS,test_common04_gaussian_noise.exe:header_parse
G2-007,payloadDataHash is omitted from noise pool identity because full shard SHA256 covers shard bytes and Common-03 owns payload identity,"noise_pool.hpp;noise_pool_format.md","check_common04.py","payloadDataHash unexpectedly required or inconsistently computed",PASS_COMMON_GAUSSIAN_NOISE,PASS,check_common04.py:executed_real_gate_suite
G2-008,Noise pool manifest has deterministic identity SHA256 shard hashes and overallHash without timestamp path username or UUID,"noise_pool.hpp;generate_common04_noise_pool.py","validate_common04_noise_pool.py","timestamp path uuid username in manifest; bad hash",PASS_COMMON_GAUSSIAN_NOISE,PASS,validate_common04_noise_pool.py:hash_identity
G2-009,NoisePoolReader supports first frame shard boundary last frame and symbol-prefix random reads,"noise_pool.hpp;noise_pool.cpp","test_common04_gaussian_noise.cpp","out-of-range frame; out-of-range prefix; corrupted shard",PASS_COMMON_GAUSSIAN_NOISE,PASS,test_common04_gaussian_noise.exe:reader_boundaries
G3-001,BPSK maps bit 0 to +1 and bit 1 to -1,"modulation.hpp;modulation.cpp","test_common04_modulation_awgn.cpp","non-binary bit rejected",PASS_COMMON_BPSK_AWGN_LLR,PASS,check_common04.py:executed_real_gate_suite
G3-002,Code rate tests include R=200/248 and R=300/390,"awgn_channel.hpp;awgn_channel.cpp","test_common04_modulation_awgn.cpp","wrong rate fixture",PASS_COMMON_BPSK_AWGN_LLR,PASS,test_common04_modulation_awgn.exe:rate_200_248_and_300_390
G3-003,Sigma and rate must reuse Common computeCodeRate and must not create a second rate definition,"types.hpp;awgn_channel.hpp;awgn_channel.cpp","test_common04_modulation_awgn.cpp","source scan for duplicate payloadLength/encodedLength rate formula outside computeCodeRate wrapper",PASS_COMMON_BPSK_AWGN_LLR,PASS,test_common04_modulation_awgn.exe:computeCodeRate
G3-004,AWGN scales standard mother noise by sigma and rejects invalid lengths EbN0 rate NaN and Inf,"awgn_channel.hpp;awgn_channel.cpp","test_common04_modulation_awgn.cpp","length mismatch; invalid EbN0; NaN/Inf sigma",PASS_COMMON_BPSK_AWGN_LLR,PASS,check_common04.py:executed_real_gate_suite
G3-005,Hard decision uses hardDecisionAtZero=0 and LLR sign convention positive_means_bit_0,"demodulation.hpp;demodulation.cpp","test_common04_modulation_awgn.cpp","zero sigma; sign boundary mismatch",PASS_COMMON_BPSK_AWGN_LLR,PASS,check_common04.py:executed_real_gate_suite
G3-006,C++ and Python BPSK AWGN LLR reference match,"compare_common04_cpp_python.py;awgn_channel.cpp;demodulation.cpp","check_common04.py","reference mismatch",PASS_COMMON_BPSK_AWGN_LLR,PASS,compare_common04_cpp_python.py:awgn_llr_mismatch=0
G4-001,BER and FER compare only originalPayload and recoveredPayload,"simulation_metrics.hpp;simulation_metrics.cpp","test_common04_metrics_control.cpp","encoded-bit comparison mutation; length mismatch",PASS_COMMON_METRICS_CONTROL,PASS,check_common04.py:executed_real_gate_suite
G4-002,BER FER successRate counters reject zero processed frames NaN Inf and overflow,"simulation_metrics.hpp;simulation_metrics.cpp","test_common04_metrics_control.cpp","zero processed frames; overflow; NaN/Inf",PASS_COMMON_METRICS_CONTROL,PASS,check_common04.py:executed_real_gate_suite
G4-003,Latency fields cover average encode channel decode recovery total and required max decode total,"simulation_metrics.hpp;simulation_metrics.cpp","test_common04_metrics_control.cpp","negative timing; missing max field; overflow timing",PASS_COMMON_METRICS_CONTROL,PASS,check_common04.py:executed_real_gate_suite
G4-004,Stop controller honors smoke prescan and formal templates including formal minFrames maxFrames targetFrameErrors,"simulation_control.hpp;simulation_control.cpp","test_common04_metrics_control.cpp","early stop before minFrames; disabled target; formal template mismatch",PASS_COMMON_METRICS_CONTROL,PASS,test_common04_metrics_control.exe:formal_stop_template
G5-001,configHash freezes canonical include fields and excludes createdTime absolute path username and temp directory,"checkpoint.hpp;checkpoint.cpp;result_schema.cpp","test_common04_checkpoint.cpp","createdTime/path/user/temp affects configHash",PASS_COMMON_CHECKPOINT_RESULTS,PASS,check_common04.py:executed_real_gate_suite
G5-002,Checkpoint schema validates deterministic resume identity,"checkpoint.hpp;checkpoint.cpp","test_common04_checkpoint.cpp","missing field; bad schema; truncated JSON; bad configHash",PASS_COMMON_CHECKPOINT_RESULTS,PASS,check_common04.py:executed_real_gate_suite
G5-003,Resume rejects mismatched framePool noisePool payload length encoded length SNR and counters,"checkpoint.hpp;checkpoint.cpp","test_common04_checkpoint.cpp","mismatched checkpoint fields",PASS_COMMON_CHECKPOINT_RESULTS,PASS,check_common04.py:executed_real_gate_suite
G5-004,Continuous run and resume have exactly identical counters error results and stopReason,"checkpoint.hpp;checkpoint.cpp;simulation_pipeline.cpp","test_common04_checkpoint.cpp;test_common04_integration.cpp","resume count mismatch; stopReason mismatch",PASS_COMMON_CHECKPOINT_RESULTS,PASS,test_common04_checkpoint.exe:continuous100_resume37_to100
G5-005,createdTime appears only in metadata and not in configHash noisePoolId or overallHash,"result_schema.hpp;noise_pool.hpp;checkpoint.hpp","check_common04.py","createdTime identity contamination scan",PASS_COMMON_CHECKPOINT_RESULTS,PASS,check_common04.py:executed_real_gate_suite
G5-006,Frame shard merge rejects gaps overlaps duplicates and mismatched configs,"simulation_pipeline.hpp;merge_common04_shards.py","test_common04_checkpoint.cpp","gap;overlap;duplicate;config mismatch",PASS_COMMON_CHECKPOINT_RESULTS,PASS,test_common04_integration.exe:cxx_shard_cases;merge_common04_shards.py:positive_negative
G5-007,summary.csv and metadata.json follow stable schema,"result_schema.hpp;result_schema.cpp","test_common04_checkpoint.cpp;check_common04.py","missing CSV field; empty CSV; inconsistent BER/FER",PASS_COMMON_CHECKPOINT_RESULTS,PASS,check_common04.py:executed_real_gate_suite
G6-001,Identity codec validates no-noise BER=0 FER=0 successRate=1,"simulation_pipeline.hpp;tests/stage04","test_common04_integration.cpp","invalid frame pool",PASS_COMMON_INTEGRATION,PASS,test_common04_integration.exe:no_noise_hard_finite_llr_k200_k300
G6-002,K=200 and K=300 identity chains work for HARD and LLR_SIGN,"simulation_pipeline.hpp;tests/stage04","test_common04_integration.cpp","corrupted noise pool; decision mismatch",PASS_COMMON_INTEGRATION,PASS,check_common04.py:executed_real_gate_suite
G6-003,Repeated run resume and shard merge produce identical counters,"simulation_pipeline.hpp;checkpoint.cpp;merge_common04_shards.py","test_common04_integration.cpp","resume mismatch; shard merge mismatch",PASS_COMMON_INTEGRATION,PASS,check_common04.py:executed_real_gate_suite
G6-004,Smoke and prescan produce parseable CSV JSON and non-empty PNG,"plot_common_results.py;simulation_pipeline.cpp","check_common04.py","empty CSV; missing column; empty PNG",PASS_COMMON_INTEGRATION,PASS,check_common04.py:real_pool_smoke100_prescan2000_csv_metadata_png
G6-005,Higher SNR BER is grossly non-increasing as a Monte Carlo sanity trend and not required to be strictly pointwise monotonic,"simulation_pipeline.cpp;check_common04.py","check_common04.py","gross trend violation",PASS_COMMON_INTEGRATION,PASS,check_common04.py:executed_real_gate_suite
G6-006,Formal capacity validates 50000 frames 1000 symbols per frame and 50 shards without committing large assets,"generate_common04_noise_pool.py;simulation_pipeline.cpp;check_common04.py","check_common04.py","capacity config rejected; large asset staged",PASS_COMMON_INTEGRATION,PASS,check_common04.py:formal_capacity_plan_50000x1000_50
REG-001,Common-02 regression remains PASS,"check_common02.py","check_common02.py","regression failure",PASS_COMMON_SIMULATION_FOUNDATION,PASS,check_common02.py:PASS_COMMON_TYPES_INTERFACES
REG-002,Common-03 regression remains PASS,"check_common03.py","check_common03.py","regression failure",PASS_COMMON_SIMULATION_FOUNDATION,PASS,check_common03.py:PASS_COMMON_FRAME_POOL
AUD-001,Git scope excludes Plan build results generated artifacts pycache exe obj pdb and initial planning folders,"check_common04.py;manifest.json","check_common04.py","forbidden path staged or diffed",PASS_COMMON_SIMULATION_FOUNDATION,PASS,check_common04.py:executed_real_gate_suite
AUD-002,Checker scans Common-04 scope for forbidden BCH CC LDPC and interleaving implementations,"check_common04.py","check_common04.py","forbidden implementation marker scan",PASS_COMMON_SIMULATION_FOUNDATION,PASS,check_common04.py:executed_real_gate_suite
AUD-003,Stage04 audit files contain no Pending NOT_PUSHED or TO_VERIFY_AFTER_PUSH in final state,"check_common04.py;validation_report.md;manifest.json","check_common04.py","stale audit token scan",PASS_COMMON_SIMULATION_FOUNDATION,PASS,check_common04.py:executed_real_gate_suite
AUD-004,Manifest records functional commit true Git diff added modified deleted remote branch remote verification and NOT_MERGED status,"manifest.json;check_common04.py","check_common04.py","manifest diff mismatch; remote status mismatch",PASS_COMMON_SIMULATION_FOUNDATION,PASS,check_common04.py:manifest_functional_diff
AUD-005,Functional commit exists on remote branch before audit closure records VERIFIED,"manifest.json;check_common04.py","check_common04.py","functional commit absent from remote",PASS_COMMON_SIMULATION_FOUNDATION,PASS,git_push:remote_contains_functional_commit
