figure,scheme,burstRatios,reportDecision,reason,replacementFigure,sourceData
12_relativeFerReductionPercent,BCH,N/A,USE_FIGURE,Stage15 figure is based on the retained 2% or 5% condition.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage10_bch_formal\results\formal_results.csv
13_target_fer_esn0_gain,BCH,N/A,EXCLUDE_MIXED_NO_USABLE_VALUE,Mixed 2%/5%/10% categories and retained categories have no non-interpolated numeric gain.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage10_bch_formal\results\formal_results.csv
14_affected_bch_blocks,BCH,N/A,USE_FIGURE,Stage15 figure is based on the retained 2% or 5% condition.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage10_bch_formal\results\formal_results.csv
15_max_errors_per_block,BCH,N/A,USE_FIGURE,Stage15 figure is based on the retained 2% or 5% condition.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage10_bch_formal\results\formal_results.csv
16_decodeTimeMeanNsWeighted,BCH,"0;2%,5%,10% weighted",REPLACE_WITH_FILTERED_TABLE,Stage13 value is weighted over all original burst ratios; Table 9.9 is recomputed from 2%/5% Formal rows only.,report_table_data_9_9.csv,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage13_latency_complexity\results\latency_complexity_summary.csv;C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\BCH\simulation\stages\S1\stage07_awgn_dense_formal\published_results\stage07_awgn_dense_formal_results.csv
17_interleaveTimeMeanNsWeighted,BCH,N/A,REPLACE_WITH_FILTERED_TABLE,Stage13 value is weighted over all original burst ratios; Table 9.9 is recomputed from 2%/5% Formal rows only.,report_table_data_9_9.csv,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage13_latency_complexity\results\latency_complexity_summary.csv
18_deinterleaveTimeMeanNsWeighted,BCH,N/A,REPLACE_WITH_FILTERED_TABLE,Stage13 value is weighted over all original burst ratios; Table 9.9 is recomputed from 2%/5% Formal rows only.,report_table_data_9_9.csv,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage13_latency_complexity\results\latency_complexity_summary.csv
19_bufferBits,BCH,N/A,USE_FIGURE,Stage15 figure is based on the retained 2% or 5% condition.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage13_latency_complexity\results\latency_complexity_summary.csv
20_burst_tolerance,BCH,N/A,REPLACE_WITH_FILTERED_TABLE,Mixed burst-ratio bars; Table 9.10 retains only 2% and 5% source fields.,report_table_data_9_10.csv,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage14_fer_improvement\results\burst_tolerance_summary.csv
21_all_start_heatmap_2_percent,BCH,N/A,USE_FIGURE,Stage15 figure is based on the retained 2% or 5% condition.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage12_all_start_scan\results\bch_2_percent\all_start_results.csv
22_all_start_heatmap_5_percent,BCH,N/A,USE_FIGURE,Stage15 figure is based on the retained 2% or 5% condition.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage12_all_start_scan\results\bch\all_start_results.csv
22_burst_5_ber,BCH,0;0.05,USE_FIGURE,Stage15 figure is based on the retained 2% or 5% condition.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage10_bch_formal\results\formal_results.csv;C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\BCH\simulation\stages\S1\stage07_awgn_dense_formal\published_results\stage07_awgn_dense_formal_results.csv
23_burst_10_ber,BCH,0;0.1,EXCLUDE_10_PERCENT,Dedicated 10% result; retained as an experiment asset but not referenced by Chapter 9.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage10_bch_formal\results\formal_results.csv;C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\BCH\simulation\stages\S1\stage07_awgn_dense_formal\published_results\stage07_awgn_dense_formal_results.csv
24_mean_position_ber,BCH,N/A,USE_FIGURE,Stage15 figure is based on the retained 2% or 5% condition.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage10_bch_formal\results\formal_results.csv
25_max_position_ber,BCH,N/A,USE_FIGURE,Stage15 figure is based on the retained 2% or 5% condition.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage10_bch_formal\results\formal_results.csv
26_min_position_ber,BCH,N/A,USE_FIGURE,Stage15 figure is based on the retained 2% or 5% condition.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage10_bch_formal\results\formal_results.csv
27_absoluteBerImprovement,BCH,N/A,USE_FIGURE,Stage15 figure is based on the retained 2% or 5% condition.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage10_bch_formal\results\formal_results.csv
28_relativeBerReductionPercent,BCH,N/A,USE_FIGURE,Stage15 figure is based on the retained 2% or 5% condition.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage10_bch_formal\results\formal_results.csv
01_methods_fer,CC,0;0.05,USE_FIGURE,Stage15 figure is based on the retained 2% or 5% condition.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage11_cc_formal\results\formal_results.csv;C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv;C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage15_scientific_plots\ldpc_baseline\selected_ldpc_baseline_points.csv
02_methods_ber,CC,0;0.05,USE_FIGURE,Stage15 figure is based on the retained 2% or 5% condition.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage11_cc_formal\results\formal_results.csv;C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv;C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage15_scientific_plots\ldpc_baseline\selected_ldpc_baseline_points.csv
03_burst_2_fer,CC,0;0.02,USE_FIGURE,Stage15 figure is based on the retained 2% or 5% condition.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage11_cc_formal\results\formal_results.csv;C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv;C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage15_scientific_plots\ldpc_baseline\selected_ldpc_baseline_points.csv
04_burst_5_fer,CC,0;0.05,USE_FIGURE,Stage15 figure is based on the retained 2% or 5% condition.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage11_cc_formal\results\formal_results.csv;C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv;C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage15_scientific_plots\ldpc_baseline\selected_ldpc_baseline_points.csv
05_burst_10_fer,CC,0;0.1,EXCLUDE_10_PERCENT,Dedicated 10% result; retained as an experiment asset but not referenced by Chapter 9.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage11_cc_formal\results\formal_results.csv;C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv;C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage15_scientific_plots\ldpc_baseline\selected_ldpc_baseline_points.csv
06_six_positions_fer,CC,N/A,USE_FIGURE,Stage15 figure is based on the retained 2% or 5% condition.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage11_cc_formal\results\formal_results.csv
07_mean_position_fer,CC,N/A,USE_FIGURE,Stage15 figure is based on the retained 2% or 5% condition.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage11_cc_formal\results\formal_results.csv
08_max_position_fer,CC,N/A,USE_FIGURE,Stage15 figure is based on the retained 2% or 5% condition.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage11_cc_formal\results\formal_results.csv
09_min_position_fer,CC,N/A,USE_FIGURE,Stage15 figure is based on the retained 2% or 5% condition.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage11_cc_formal\results\formal_results.csv
10_position_sensitivity,CC,N/A,USE_FIGURE,Stage15 figure is based on the retained 2% or 5% condition.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage11_cc_formal\results\formal_results.csv
11_absoluteFerImprovement,CC,N/A,USE_FIGURE,Stage15 figure is based on the retained 2% or 5% condition.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage11_cc_formal\results\formal_results.csv
12_relativeFerReductionPercent,CC,N/A,USE_FIGURE,Stage15 figure is based on the retained 2% or 5% condition.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage11_cc_formal\results\formal_results.csv
13_target_fer_esn0_gain,CC,N/A,EXCLUDE_MIXED_NO_USABLE_VALUE,Mixed 2%/5%/10% categories and retained categories have no non-interpolated numeric gain.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage11_cc_formal\results\formal_results.csv
14_short_depth_parameters,CC,N/A,USE_FIGURE,Stage15 figure is based on the retained 2% or 5% condition.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage11_cc_formal\results\formal_results.csv
15_equal_span_128_controlled,CC,N/A,USE_FIGURE,Stage15 figure is based on the retained 2% or 5% condition.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage11_cc_formal\results\formal_results.csv
16_decodeTimeMeanNsWeighted,CC,"0;2%,5%,10% weighted",REPLACE_WITH_FILTERED_TABLE,Stage13 value is weighted over all original burst ratios; Table 9.9 is recomputed from 2%/5% Formal rows only.,report_table_data_9_9.csv,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage13_latency_complexity\results\latency_complexity_summary.csv;C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv
17_interleaveTimeMeanNsWeighted,CC,N/A,REPLACE_WITH_FILTERED_TABLE,Stage13 value is weighted over all original burst ratios; Table 9.9 is recomputed from 2%/5% Formal rows only.,report_table_data_9_9.csv,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage13_latency_complexity\results\latency_complexity_summary.csv
18_deinterleaveTimeMeanNsWeighted,CC,N/A,REPLACE_WITH_FILTERED_TABLE,Stage13 value is weighted over all original burst ratios; Table 9.9 is recomputed from 2%/5% Formal rows only.,report_table_data_9_9.csv,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage13_latency_complexity\results\latency_complexity_summary.csv
19_bufferBits,CC,N/A,USE_FIGURE,Stage15 figure is based on the retained 2% or 5% condition.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage13_latency_complexity\results\latency_complexity_summary.csv
20_burst_tolerance,CC,N/A,REPLACE_WITH_FILTERED_TABLE,Mixed burst-ratio bars; Table 9.10 retains only 2% and 5% source fields.,report_table_data_9_10.csv,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage14_fer_improvement\results\burst_tolerance_summary.csv
21_all_start_heatmap,CC,N/A,EXCLUDE_10_PERCENT,Dedicated 10% result; retained as an experiment asset but not referenced by Chapter 9.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage12_all_start_scan\results\cc\all_start_results.csv
22_cc_ldpc_no_burst_decode_latency,CC,0,USE_FIGURE,Stage15 figure is based on the retained 2% or 5% condition.,N/A,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\CC\simulation\stages\S3\stage09_awgn_formal\results\stage09_two_level_merged_point_results.csv;C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage15_scientific_plots\ldpc_baseline\selected_ldpc_baseline_points.csv
