formalFigureDir,figurePng,figureDataCsv,plotManifestJson,readmeTxt,module,xAxis,xMeaning,xUnit,yAxis,yMeaning,seriesNames,dataPointCount,coverageRange,hasZeroErrorPoints,zeroErrorPlotPolicy,hasNA,deletedPoints,smoothing,interpolation,extrapolation,pngCsvManifestConsistency,upstreamFormalCsv,upstreamFilterRule,supportsConclusion,doesNotSupport,chapterSection,layoutSuggestion,blockingIssue
cc_01_block_ber,Task/Comparison/S6/results/summary/figures/cc_01_block_ber/figure.png,Task/Comparison/S6/results/summary/figures/cc_01_block_ber/figure_data.csv,Task/Comparison/S6/results/summary/figures/cc_01_block_ber/plot_manifest.json,Task/Comparison/S6/results/summary/figures/cc_01_block_ber/readme.txt,CC,Es/N0,symbol SNR used by AWGN variance,dB,BER,bit errors / payload bits,BLOCK_HARD; BLOCK_FLOAT_SOFT,62,-5.0..10.0 dB; 31 SNR points,YES,原始零值保留，plotValue留空且不在对数轴绘制,NO,NO evidence; zero rows preserved and omitted only on log axis,NONE,NONE,NONE,PASS,Task/Comparison/S6/results/cc/cc_integrated_results.csv,plot_s6.py scheme/metric filters per figure id,Block BER,Unqualified cross-family complexity ranking,CC hard/soft,pair with cc_02,NONE
cc_02_block_fer,Task/Comparison/S6/results/summary/figures/cc_02_block_fer/figure.png,Task/Comparison/S6/results/summary/figures/cc_02_block_fer/figure_data.csv,Task/Comparison/S6/results/summary/figures/cc_02_block_fer/plot_manifest.json,Task/Comparison/S6/results/summary/figures/cc_02_block_fer/readme.txt,CC,Es/N0,symbol SNR used by AWGN variance,dB,FER,frame errors / frames,BLOCK_HARD; BLOCK_FLOAT_SOFT,62,-5.0..10.0 dB; 31 SNR points,YES,原始零值保留，plotValue留空且不在对数轴绘制,NO,NO evidence; zero rows preserved and omitted only on log axis,NONE,NONE,NONE,PASS,Task/Comparison/S6/results/cc/cc_integrated_results.csv,plot_s6.py scheme/metric filters per figure id,Block FER thresholds,Unqualified cross-family complexity ranking,CC hard/soft,pair with cc_01,NONE
cc_03_slot_fer,Task/Comparison/S6/results/summary/figures/cc_03_slot_fer/figure.png,Task/Comparison/S6/results/summary/figures/cc_03_slot_fer/figure_data.csv,Task/Comparison/S6/results/summary/figures/cc_03_slot_fer/plot_manifest.json,Task/Comparison/S6/results/summary/figures/cc_03_slot_fer/readme.txt,CC,Es/N0,symbol SNR used by AWGN variance,dB,FER,frame errors / frames,B/C/D continuous hard/float-soft,186,-5.0..10.0 dB; 31 SNR points,YES,原始零值保留，plotValue留空且不在对数轴绘制,NO,NO evidence; zero rows preserved and omitted only on log axis,NONE,NONE,NONE,PASS,Task/Comparison/S6/results/cc/cc_integrated_results.csv,plot_s6.py scheme/metric filters per figure id,Slot FER,Unqualified cross-family complexity ranking,CC organization,single,NONE
cc_04_complexity,Task/Comparison/S6/results/summary/figures/cc_04_complexity/figure.png,Task/Comparison/S6/results/summary/figures/cc_04_complexity/figure_data.csv,Task/Comparison/S6/results/summary/figures/cc_04_complexity/plot_manifest.json,Task/Comparison/S6/results/summary/figures/cc_04_complexity/readme.txt,CC,category,scheme/metric category,category,operations/frame,ACS and traceback events,ACS; traceback,16,16 category rows,NO,按值绘制,NO,NO evidence; zero rows preserved and omitted only on log axis,NONE,NONE,NONE,PASS,Task/Comparison/S6/results/cc/cc_integrated_results.csv,plot_s6.py scheme/metric filters per figure id,Operation scale,Unqualified cross-family complexity ranking,CC complexity,with memory,NONE
cc_05_memory,Task/Comparison/S6/results/summary/figures/cc_05_memory/figure.png,Task/Comparison/S6/results/summary/figures/cc_05_memory/figure_data.csv,Task/Comparison/S6/results/summary/figures/cc_05_memory/plot_manifest.json,Task/Comparison/S6/results/summary/figures/cc_05_memory/readme.txt,CC,category,scheme/metric category,category,bytes,modeled decoder memory,decoder memory,8,8 category rows,NO,按值绘制,NO,NO evidence; zero rows preserved and omitted only on log axis,NONE,NONE,NONE,PASS,Task/Comparison/S6/results/cc/cc_integrated_results.csv,plot_s6.py scheme/metric filters per figure id,Storage,Unqualified cross-family complexity ranking,CC storage,with complexity,NONE
cc_06_avg_time,Task/Comparison/S6/results/summary/figures/cc_06_avg_time/figure.png,Task/Comparison/S6/results/summary/figures/cc_06_avg_time/figure_data.csv,Task/Comparison/S6/results/summary/figures/cc_06_avg_time/plot_manifest.json,Task/Comparison/S6/results/summary/figures/cc_06_avg_time/readme.txt,CC,Es/N0,symbol SNR used by AWGN variance,dB,microseconds,average CPU decode time,8 CC schemes,248,-5.0..10.0 dB; 31 SNR points,NO,按值绘制,NO,NO evidence; zero rows preserved and omitted only on log axis,NONE,NONE,NONE,PASS,Task/Comparison/S6/results/cc/cc_integrated_results.csv,plot_s6.py scheme/metric filters per figure id,Software decode time,Unqualified cross-family complexity ranking,CC latency,single,NONE
cc_07_first_output,Task/Comparison/S6/results/summary/figures/cc_07_first_output/figure.png,Task/Comparison/S6/results/summary/figures/cc_07_first_output/figure_data.csv,Task/Comparison/S6/results/summary/figures/cc_07_first_output/plot_manifest.json,Task/Comparison/S6/results/summary/figures/cc_07_first_output/readme.txt,CC,Es/N0,symbol SNR used by AWGN variance,dB,symbols,first output delay,6 slot schemes,186,-5.0..10.0 dB; 31 SNR points,NO,按值绘制,NO,NO evidence; zero rows preserved and omitted only on log axis,NONE,NONE,NONE,PASS,Task/Comparison/S6/results/cc/cc_integrated_results.csv,plot_s6.py scheme/metric filters per figure id,"Streaming first-output latency, not CPU decode time",Unqualified cross-family complexity ranking,CC streaming latency,pair with cc_08,NONE
cc_08_decision_delay,Task/Comparison/S6/results/summary/figures/cc_08_decision_delay/figure.png,Task/Comparison/S6/results/summary/figures/cc_08_decision_delay/figure_data.csv,Task/Comparison/S6/results/summary/figures/cc_08_decision_delay/plot_manifest.json,Task/Comparison/S6/results/summary/figures/cc_08_decision_delay/readme.txt,CC,Es/N0,symbol SNR used by AWGN variance,dB,symbols,P95 decision delay,6 slot schemes,186,-5.0..10.0 dB; 31 SNR points,NO,按值绘制,NO,NO evidence; zero rows preserved and omitted only on log axis,NONE,NONE,NONE,PASS,Task/Comparison/S6/results/cc/cc_integrated_results.csv,plot_s6.py scheme/metric filters per figure id,"Streaming decision latency, not CPU decode time",Unqualified cross-family complexity ranking,CC streaming latency,pair with cc_07,NONE
ldpc_01_ber,Task/Comparison/S6/results/summary/figures/ldpc_01_ber/figure.png,Task/Comparison/S6/results/summary/figures/ldpc_01_ber/figure_data.csv,Task/Comparison/S6/results/summary/figures/ldpc_01_ber/plot_manifest.json,Task/Comparison/S6/results/summary/figures/ldpc_01_ber/readme.txt,LDPC,Es/N0,symbol SNR used by AWGN variance,dB,BER,bit errors / payload bits,BP; NMS alpha=0.95,62,-5.0..10.0 dB; 31 SNR points,YES,原始零值保留，plotValue留空且不在对数轴绘制,NO,NO evidence; zero rows preserved and omitted only on log axis,NONE,NONE,NONE,PASS,Task/Comparison/S6/results/ldpc/ldpc_n560_integrated_results.csv,plot_s6.py scheme/metric filters per figure id,BP/NMS BER,Unqualified cross-family complexity ranking,LDPC BP/NMS,pair with ldpc_02,NONE
ldpc_02_fer,Task/Comparison/S6/results/summary/figures/ldpc_02_fer/figure.png,Task/Comparison/S6/results/summary/figures/ldpc_02_fer/figure_data.csv,Task/Comparison/S6/results/summary/figures/ldpc_02_fer/plot_manifest.json,Task/Comparison/S6/results/summary/figures/ldpc_02_fer/readme.txt,LDPC,Es/N0,symbol SNR used by AWGN variance,dB,FER,frame errors / frames,BP; NMS alpha=0.95,62,-5.0..10.0 dB; 31 SNR points,YES,原始零值保留，plotValue留空且不在对数轴绘制,NO,NO evidence; zero rows preserved and omitted only on log axis,NONE,NONE,NONE,PASS,Task/Comparison/S6/results/ldpc/ldpc_n560_integrated_results.csv,plot_s6.py scheme/metric filters per figure id,BP/NMS FER thresholds,Unqualified cross-family complexity ranking,LDPC BP/NMS,pair with ldpc_01,NONE
ldpc_03_iterations,Task/Comparison/S6/results/summary/figures/ldpc_03_iterations/figure.png,Task/Comparison/S6/results/summary/figures/ldpc_03_iterations/figure_data.csv,Task/Comparison/S6/results/summary/figures/ldpc_03_iterations/plot_manifest.json,Task/Comparison/S6/results/summary/figures/ldpc_03_iterations/readme.txt,LDPC,Es/N0,symbol SNR used by AWGN variance,dB,iterations,mean used iterations,BP; NMS alpha=0.95,62,-5.0..10.0 dB; 31 SNR points,NO,按值绘制,NO,NO evidence; zero rows preserved and omitted only on log axis,NONE,NONE,NONE,PASS,Task/Comparison/S6/results/ldpc/ldpc_n560_integrated_results.csv,plot_s6.py scheme/metric filters per figure id,Iteration workload,Unqualified cross-family complexity ranking,LDPC iteration,pair with ldpc_04,NONE
ldpc_04_early_stop,Task/Comparison/S6/results/summary/figures/ldpc_04_early_stop/figure.png,Task/Comparison/S6/results/summary/figures/ldpc_04_early_stop/figure_data.csv,Task/Comparison/S6/results/summary/figures/ldpc_04_early_stop/plot_manifest.json,Task/Comparison/S6/results/summary/figures/ldpc_04_early_stop/readme.txt,LDPC,Es/N0,symbol SNR used by AWGN variance,dB,rate,usedIterations < maxIterations fraction,BP; NMS alpha=0.95,62,-5.0..10.0 dB; 31 SNR points,YES,按值绘制,NO,NO evidence; zero rows preserved and omitted only on log axis,NONE,NONE,NONE,PASS,Task/Comparison/S6/results/ldpc/ldpc_n560_integrated_results.csv,plot_s6.py scheme/metric filters per figure id,Early stop behavior,Unqualified cross-family complexity ranking,LDPC iteration,pair with ldpc_03,NONE
ldpc_05_complexity,Task/Comparison/S6/results/summary/figures/ldpc_05_complexity/figure.png,Task/Comparison/S6/results/summary/figures/ldpc_05_complexity/figure_data.csv,Task/Comparison/S6/results/summary/figures/ldpc_05_complexity/plot_manifest.json,Task/Comparison/S6/results/summary/figures/ldpc_05_complexity/readme.txt,LDPC,category,scheme/metric category,category,operations/frame,operation categories,BP nonlinear ops; NMS min-sum ops,12,12 category rows,YES,按值绘制,NO,NO evidence; zero rows preserved and omitted only on log axis,NONE,NONE,NONE,PASS,Task/Comparison/S6/results/ldpc/ldpc_n560_integrated_results.csv,plot_s6.py scheme/metric filters per figure id,Operation scale categories,Unqualified cross-family complexity ranking,LDPC complexity,with memory,NONE
ldpc_06_memory,Task/Comparison/S6/results/summary/figures/ldpc_06_memory/figure.png,Task/Comparison/S6/results/summary/figures/ldpc_06_memory/figure_data.csv,Task/Comparison/S6/results/summary/figures/ldpc_06_memory/plot_manifest.json,Task/Comparison/S6/results/summary/figures/ldpc_06_memory/readme.txt,LDPC,category,scheme/metric category,category,bytes,modeled decoder memory,BP; NMS,2,2 category rows,NO,按值绘制,NO,NO evidence; zero rows preserved and omitted only on log axis,NONE,NONE,NONE,PASS,Task/Comparison/S6/results/ldpc/ldpc_n560_integrated_results.csv,plot_s6.py scheme/metric filters per figure id,Storage,Unqualified cross-family complexity ranking,LDPC storage,with complexity,NONE
ldpc_07_avg_time,Task/Comparison/S6/results/summary/figures/ldpc_07_avg_time/figure.png,Task/Comparison/S6/results/summary/figures/ldpc_07_avg_time/figure_data.csv,Task/Comparison/S6/results/summary/figures/ldpc_07_avg_time/plot_manifest.json,Task/Comparison/S6/results/summary/figures/ldpc_07_avg_time/readme.txt,LDPC,Es/N0,symbol SNR used by AWGN variance,dB,microseconds,mean decodeLayered time,BP; NMS alpha=0.95,62,-5.0..10.0 dB; 31 SNR points,NO,按值绘制,NO,NO evidence; zero rows preserved and omitted only on log axis,NONE,NONE,NONE,PASS,Task/Comparison/S6/results/ldpc/ldpc_n560_integrated_results.csv,plot_s6.py scheme/metric filters per figure id,Average software decode time,Unqualified cross-family complexity ranking,LDPC latency,pair with ldpc_08,NONE
ldpc_08_max_time,Task/Comparison/S6/results/summary/figures/ldpc_08_max_time/figure.png,Task/Comparison/S6/results/summary/figures/ldpc_08_max_time/figure_data.csv,Task/Comparison/S6/results/summary/figures/ldpc_08_max_time/plot_manifest.json,Task/Comparison/S6/results/summary/figures/ldpc_08_max_time/readme.txt,LDPC,Es/N0,symbol SNR used by AWGN variance,dB,microseconds,max observed decodeLayered time,BP; NMS alpha=0.95,62,-5.0..10.0 dB; 31 SNR points,NO,按值绘制,NO,NO evidence; zero rows preserved and omitted only on log axis,NONE,NONE,NONE,PASS,Task/Comparison/S6/results/ldpc/ldpc_n560_integrated_results.csv,plot_s6.py scheme/metric filters per figure id,Max observed software latency,Unqualified cross-family complexity ranking,LDPC latency,pair with ldpc_07,NONE
